"","identifier","datestamp","setSpec","setSpec.1","setSpec.2","setSpec.3","setSpec.4","setSpec.5","title","creator","creator.1","creator.2","creator.3","subject","description","description.1","date","type","type.1","identifier.4","source","identifier.1","identifier.2","identifier.3","language","rights","format","format.1","creator.4","creator.5","creator.6","creator.7","creator.8","creator.9","subject.1","subject.2","subject.3","subject.4","subject.5","subject.6","format.2","setSpec.6","setSpec.7","creator.10","title.1","creator.11","creator.12","creator.13","creator.14","creator.15","creator.16","creator.17","creator.18","creator.19","creator.20","creator.21","creator.22","creator.23","creator.24","creator.25","creator.26","creator.27","creator.28","creator.29","creator.30","creator.31","creator.32","creator.33","creator.34","creator.35","creator.36","creator.37","creator.38","creator.39","creator.40","creator.41","creator.42","creator.43","creator.44","creator.45","creator.46","creator.47","creator.48","creator.49","creator.50","creator.51","creator.52","creator.53","creator.54","creator.55","creator.56","creator.57","creator.58","creator.59","creator.60","creator.61","creator.62","creator.63","creator.64","creator.65","creator.66","creator.67","creator.68","creator.69","creator.70","creator.71","creator.72","creator.73","creator.74","creator.75","creator.76","creator.77","creator.78","creator.79","creator.80","creator.81","subject.7","subject.8","subject.9","subject.10","subject.11","subject.12","subject.13","subject.14","subject.15","subject.16","subject.17","subject.18","subject.19","subject.20","subject.21","subject.22","subject.23","subject.24","subject.25","subject.26"
"1","oai:kops.uni-konstanz.de:123456789/42448","2018-05-31T01:14:11Z","com_123456789_1","col_123456789_28","doc-type:article","doc-type:Text","open_access","ddc:570","Bats Use Magnetite to Detect the Earth's Magnetic Field","Holland, Richard A.","Kirschvink, Joseph L.","Doak, Thomas G.","Wikelski, Martin","ddc:570","While the role of magnetic cues for compass orientation has been confirmed in numerous animals, the mechanism of detection is still debated. Two hypotheses have been proposed, one based on a light dependent mechanism, apparently used by birds and another based on a “compass organelle” containing the iron oxide particles magnetite (Fe3O4). Bats have recently been shown to use magnetic cues for compass orientation but the method by which they detect the Earth's magnetic field remains unknown. Here we use the classic “Kalmijn-Blakemore” pulse re-magnetization experiment, whereby the polarity of cellular magnetite is reversed. The results demonstrate that the big brown bat Eptesicus fuscus uses single domain magnetite to detect the Earths magnetic field and the response indicates a polarity based receptor. Polarity detection is a prerequisite for the use of magnetite as a compass and suggests that big brown bats use magnetite to detect the magnetic field as a compass. Our results indicate the possibility that sensory cells in bats contain freely rotating magnetite particles, which appears not to be the case in birds. It is crucial that the ultrastructure of the magnetite containing magnetoreceptors is described for our understanding of magnetoreception in animals.","published","2008-02-27","doc-type:article","doc-type:Text","http://nbn-resolving.de/urn:nbn:de:bsz:352-2-uv7h6b0c3v77","PLoS one ; 3 (2008), 2. - e1676. - eISSN 1932-6203","50580235X","http://dx.doi.org/10.1371/journal.pone.0001676","18301753","eng","https://kops.uni-konstanz.de/page/termsofuse","application/pdf","application/pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","oai:kops.uni-konstanz.de:123456789/34007","2018-05-15T11:51:15Z","com_123456789_1","col_123456789_28","doc-type:article","doc-type:Text","open_access","ddc:570","Loss of DJ-1 impairs antioxidant response by altered glutamine and serine metabolism","Meiser, Johannes","Delcambre, Sylvie","Wegner, André","Jäger, Christian","ddc:570","The oncogene DJ-1 has been originally identified as a suppressor of PTEN. Further on, loss-of-function mutations have been described as a causative factor in Parkinson's disease (PD). DJ-1 has an important function in cellular antioxidant responses, but its role in central metabolism of neurons is still elusive. We applied stable isotope assisted metabolic profiling to investigate the effect of a functional loss of DJ-1 and show that DJ-1 deficient neuronal cells exhibit decreased glutamine influx and reduced serine biosynthesis. By providing precursors for GSH synthesis, these two metabolic pathways are important contributors to cellular antioxidant response. Down-regulation of these pathways, as a result of loss of DJ-1 leads to an impaired antioxidant response. Furthermore, DJ-1 deficient mouse microglia showed a weak but constitutive pro-inflammatory activation. The combined effects of altered central metabolism and constitutive activation of glia cells raise the susceptibility of dopaminergic neurons towards degeneration in patients harboring mutated DJ-1. Our work reveals metabolic alterations leading to increased cellular instability and identifies potential new intervention points that can further be studied in the light of novel translational medicine approaches.","published","2016","doc-type:article","doc-type:Text","http://nbn-resolving.de/urn:nbn:de:bsz:352-0-327123","Neurobiology of Disease ; 89 (2016). - S. 112-125. - ISSN 0969-9961. - eISSN 1095-953X","469809507","http://dx.doi.org/10.1016/j.nbd.2016.01.019","26836693","eng","https://kops.uni-konstanz.de/page/termsofuse","application/pdf","application/pdf","Ghelfi, Jenny","Fouquier d'Herouel, Aymeric","Dong, Xiangyi","Schildknecht, Stefan","Leist, Marcel","Hiller, Karsten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","oai:kops.uni-konstanz.de:123456789/22777.2","2018-05-04T01:04:17Z","com_123456789_2","col_123456789_29","doc-type:article","doc-type:Text","open_access","ddc:540","Optical switching of radical pair conformation enhances magnetic sensitivity","Guerreschi, Gian Giacomo","Tiersch, Markus","Steiner, Ulrich E.","Briegel, Hans J.","ddc:540","The yield of radical pair reactions is influenced by magnetic fields well beyond the levels expected from energy considerations. This dependence can be traced back to the microscopic dynamics of electron spins and constitutes the basis of chemical compasses. Here we propose a new experimental approach based on molecular photoswitches to achieve additional control on the chemical reaction and allow short-time resolution of the spin dynamics. Our proposal enables experiments to test some of the standard assumptions of the radical pair model and improves the sensitivity of a paradigmatic model of chemical magnetometer by up to two orders of magnitude.","published","2013","doc-type:article","doc-type:Text","http://nbn-resolving.de/urn:nbn:de:bsz:352-2-13p74dfkftfa5","Chemical Physics Letters ; 572 (2013). - S. 106-110. - ISSN 0009-2614. - eISSN 1873-4448","502597550","http://arxiv.org/abs/1206.1280","http://dx.doi.org/10.1016/j.cplett.2013.04.010","eng","https://kops.uni-konstanz.de/page/termsofuse","application/pdf","application/pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","oai:kops.uni-konstanz.de:123456789/8771","2018-05-17T12:09:27Z","com_123456789_1","col_123456789_28","doc-type:article","doc-type:Text","open_access","ddc:570","Separation and characterization of Na+,K+ -ATPase containing vesicles","Ivashchuk-Kienbaum, Yu. A.","Apell, Hans-Jürgen",NA,NA,"ATPase","Na/K-ATPase was reconstituted in vesicles prepared by a dialysis method. Ion-exchange chromatography was used to obtain well characterized fractions from the inhomogeneous vesicle preparation. Lipid and protein content wasdetermined by optical methods during the elution process. It was possible to separate fractions with distinct enzymatic and transport activities. A protocol was set up, which allowed to calculate the average number of 5-IAF labeled ion pumps per vesicle in the different fractiuns. The dependence of the number of protein molecules per vesicle was studied as function of the initial protein concentration added to the lipid solution before dialysis. The transport activity disappears completely at very low protein concentrations (3.3 mg protein per mg lipid). This observation is in favor of the proposal discllssed in the literature, that the hcterodimer (alpha-beta)2 is the transport-active form of the Na,K -ATPase. The presented method can be applied to all reconstituted vesicle preparations in which the proteins can be labeled quantitatively with a fluorescence dye.",NA,"1994","doc-type:article","doc-type:Text",NA,"Biochimica et Biophysica Acta / Biomembranes ; 1196 (1994), 1. - S. 29-37. - ISSN 0005-2736","273492217","http://dx.doi.org/10.1016/0005-2736(94)90291-7","http://nbn-resolving.de/urn:nbn:de:bsz:352-opus-39720","eng","https://creativecommons.org/licenses/by-nc-nd/2.0/legalcode","application/pdf","application/pdf",NA,NA,NA,NA,NA,NA,"Na/K-","Proteoliposomes","Ion-exchange chromatography","Fluorescence labeling","Electrogenic ion transport","ddc:570","application/pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","oai:kops.uni-konstanz.de:123456789/325","2018-05-18T14:03:34Z","com_123456789_5","col_123456789_36","doc-type:article","ddc:004","doc-type:Text","open_access","Network ensemble clustering using latent roles","Brandes, Ulrik","Lerner, Jürgen","Nagel, Uwe",NA,"Social network analysis","We present a clustering method for collections of graphs based on the assumptions that graphs in the same cluster have a similar role structure and that the respective roles can be founded on implicit vertex types. Given a network ensemble (a collection of attributed graphs with some substantive commonality), we start by partitioning the set of all vertices based on attribute similarity. Projection of each graph onto the resulting vertex types yields feature vectors of equal dimensionality, irrespective of the original graph sizes. These feature vectors are then subjected to standard clustering methods. This approach is motivated by social network concepts, and we demonstrate its utility on an ensemble of personal networks of migrants, where we extract structurally similar groups and show their resemblance to predicted acculturation strategies.",NA,"2010","doc-type:article","doc-type:Text",NA,"Advances in Data Analysis and Classification ; 5 (2010), 2. - S. 81-94. - ISSN 1862-5347","346216257","http://dx.doi.org/10.1007/s11634-010-0074-3","http://nbn-resolving.de/urn:nbn:de:bsz:352-opus-127869","eng","https://kops.uni-konstanz.de/page/termsofuse","application/pdf","application/pdf",NA,NA,NA,NA,NA,NA,"Clustering","Network ensembles","Acculturation","ddc:004","62H30","91D30","application/pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","oai:kops.uni-konstanz.de:123456789/42261","2018-05-09T01:14:31Z","com_123456789_12","com_123456789_17","col_123456789_43","col_123456789_52","doc-type:article","ddc:150","rTMS Induced Tinnitus Relief Is Related to an Increase in Auditory Cortical Alpha Activity","Müller, Nadia","Lorenz, Isabel","Langguth, Berthold","Weisz, Nathan","ddc:150","Chronic tinnitus, the continuous perception of a phantom sound, is a highly prevalent audiological symptom. A promising approach for the treatment of tinnitus is repetitive transcranial magnetic stimulation (rTMS) as this directly affects tinnitus-related brain activity. Several studies indeed show tinnitus relief after rTMS, however effects are moderate and vary strongly across patients. This may be due to a lack of knowledge regarding how rTMS affects oscillatory activity in tinnitus sufferers and which modulations are associated with tinnitus relief. In the present study we examined the effects of five different stimulation protocols (including sham) by measuring tinnitus loudness and tinnitus-related brain activity with Magnetoencephalography before and after rTMS. Changes in oscillatory activity were analysed for the stimulated auditory cortex as well as for the entire brain regarding certain frequency bands of interest (delta, theta, alpha, gamma). In line with the literature the effects of rTMS on tinnitus loudness varied strongly across patients. This variability was also reflected in the rTMS effects on oscillatory activity. Importantly, strong reductions in tinnitus loudness were associated with increases in alpha power in the stimulated auditory cortex, while an unspecific decrease in gamma and alpha power, particularly in left frontal regions, was linked to an increase in tinnitus loudness. The identification of alpha power increase as main correlate for tinnitus reduction sheds further light on the pathophysiology of tinnitus. This will hopefully stimulate the development of more effective therapy approaches.","published","2013","doc-type:article","doc-type:Text","http://nbn-resolving.de/urn:nbn:de:bsz:352-2-3anhk4jf3ew09","PLoS one ; 8 (2013), 2. - e55557. - eISSN 1932-6203","504263242","http://dx.doi.org/10.1371/journal.pone.0055557","23390539","eng","https://kops.uni-konstanz.de/page/termsofuse","application/pdf","application/pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"doc-type:Text","open_access",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","oai:kops.uni-konstanz.de:123456789/30779","2018-05-04T07:08:34Z","com_123456789_1","col_123456789_28","doc-type:article","doc-type:Text","open_access","ddc:570","Conjugation of the Ubiquitin Activating Enzyme UBE1 with the Ubiquitin-Like Modifier FAT10 Targets It for Proteasomal Degradation","Bialas, Johanna","Gröttrup, Marcus","Aichem, Annette",NA,"ddc:570","The ubiquitin-like modifier HLA-F adjacent transcript 10 (FAT10) directly targets its substrates for proteasomal degradation by becoming covalently attached via its C-terminal diglycine motif to internal lysine residues of its substrate proteins. The conjugation machinery consists of the bispecific E1 activating enzyme Ubiquitin-like modifier activating enzyme 6 (UBA6), the likewise bispecific E2 conjugating enzyme UBA6-specific E2 enzyme 1 (USE1), and possibly E3 ligases. By mass spectrometry analysis the ubiquitin E1 activating enzyme ubiquitin-activating enzyme 1 (UBE1) was identified as putative substrate of FAT10. Here, we confirm that UBE1 and FAT10 form a stable non-reducible conjugate under overexpression as well as under endogenous conditions after induction of endogenous FAT10 expression with proinflammatory cytokines. FAT10ylation of UBE1 depends on the diglycine motif of FAT10. By specifically downregulating FAT10, UBA6 or USE1 with siRNAs, we show that UBE1 modification depends on the FAT10 conjugation pathway. Furthermore, we confirm that UBE1 does not act as a second E1 activating enzyme for FAT10 but that FAT10ylation of UBE1 leads to its proteasomal degradation, implying a putative regulatory role of FAT10 in the ubiquitin conjugation pathway.",NA,"2015","doc-type:article","doc-type:Text","http://nbn-resolving.de/urn:nbn:de:bsz:352-0-284156","PloS one ; 10 (2015), 3. - e0120329. - eISSN 1932-6203","429396317","http://dx.doi.org/10.1371/journal.pone.0120329","25768649","eng","https://kops.uni-konstanz.de/page/termsofuse","application/pdf","application/pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","oai:kops.uni-konstanz.de:123456789/34008","2018-05-09T15:25:47Z","com_123456789_1","col_123456789_28","doc-type:article","doc-type:Text","open_access","ddc:570","Highlight report : Launch of a large integrated European in vitro toxicology project: EU-ToxRisk","Daneshian, Mardas","Kamp, Hennicke","Hengstler, Jan","Leist, Marcel","ddc:570","The integrated European project, EU-ToxRisk, proudly sees itself as ""flagship"" exploring new alternative-to-animal approaches to chemical safety evaluation. It promotes mechanism-based toxicity testing and risk assessment according to the principles laid down for toxicology for the twenty-first century. The project was officially launched in January 2016 with a kickoff meeting in Egmond aan Zee, the Netherlands. Over 100 scientists representing academia and industry as well as regulatory authorities attended the inaugural meeting. The project will integrate advances in in vitro and in silico toxicology, read-across methods, and adverse outcome pathways. EU-ToxRisk will continue to make use of the case study strategy deployed in SEURAT-1, a FP7 initiative ended in December 2015. Even though the development of new non-animal methods is one target of EU-ToxRisk, the project puts special emphasis on their acceptance and implementation in regulatory contexts. This €30 million Horizon 2020 project involves 38 European partners and one from the USA. EU-ToxRisk aims at the ""development of a new way of risk assessment.""","published","2016","doc-type:article","doc-type:Text","http://nbn-resolving.de/urn:nbn:de:bsz:352-0-327153","Archives of Toxicology ; 90 (2016), 5. - S. 1021-1024. - ISSN 0003-9446. - eISSN 1432-0738","469809906","http://dx.doi.org/10.1007/s00204-016-1698-7","27017488","eng","https://kops.uni-konstanz.de/page/termsofuse","application/pdf","application/pdf","van de Water, Bob",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","oai:kops.uni-konstanz.de:123456789/35497","2018-05-04T07:08:34Z","com_123456789_1","col_123456789_28","doc-type:article","doc-type:Text","open_access","ddc:570","Both Nearest Neighbours and Long-term Affiliates Predict Individual Locations During Collective Movement in Wild Baboons","Farine, Damien R.","Strandburg-Peshkin, Ariana","Berger-Wolf, Tanya","Ziebart, Brian","ddc:570","In many animal societies, groups of individuals form stable social units that are shaped by well-delineated dominance hierarchies and a range of affiliative relationships. How do socially complex groups maintain cohesion and achieve collective movement? Using high-resolution GPS tracking of members of a wild baboon troop, we test whether collective movement in stable social groups is governed by interactions among local neighbours (commonly found in groups with largely anonymous memberships), social affiliates, and/or by individuals paying attention to global group structure. We construct candidate movement prediction models and evaluate their ability to predict the future trajectory of focal individuals. We find that baboon movements are best predicted by 4 to 6 neighbours. While these are generally individuals' nearest neighbours, we find that baboons have distinct preferences for particular neighbours, and that these social affiliates best predict individual location at longer time scales (>10 minutes). Our results support existing theoretical and empirical studies highlighting the importance of local rules in driving collective outcomes, such as collective departures, in primates. We extend previous studies by elucidating the rules that maintain cohesion in baboons 'on the move', as well as the different temporal scales of social interactions that are at play.","published","2016-06-13","doc-type:article","doc-type:Text","http://nbn-resolving.de/urn:nbn:de:bsz:352-0-348048","Scientific Reports ; 6 (2016). - 27704. - eISSN 2045-2322","477815588","http://dx.doi.org/10.1038/srep27704","27292778","eng","https://kops.uni-konstanz.de/page/termsofuse","application/pdf","application/pdf","Brugere, Ivan","Li, Jia","Crofoot, Margaret C.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","oai:kops.uni-konstanz.de:123456789/33739","2018-05-15T11:38:40Z","com_123456789_1","com_123456789_2","col_123456789_28","col_123456789_29","doc-type:article","doc-type:Text","Switching from astrocytic neuroprotection to neurodegeneration by cytokine stimulation","Efremova, Liudmila","Chovancova, Petra","Adam, Martina","Gutbier, Simon","ddc:570","Astrocytes, the largest cell population in the human brain, are powerful inflammatory effectors. Several studies have examined the interaction of activated astrocytes with neurons, but little is known yet about human neurotoxicity under such situations and about strategies of neuronal rescue. To address this question, immortalized murine astrocytes (IMA) were combined with human LUHMES neurons and stimulated with an inflammatory (TNF, IL-1) cytokine mix (CM). Neurotoxicity was studied both in co-cultures and in monocultures after transfer of conditioned medium from activated IMA. Interventions with >20 drugs were used to profile the model system. Control IMA supported neurons and protected them from neurotoxicants. Inflammatory activation reduced this protection, and prolonged exposure of co-cultures to CM triggered neurotoxicity. Neither the added cytokines nor the release of NO from astrocytes were involved in this neurodegeneration. The neurotoxicity-mediating effect of IMA was faithfully reproduced by human astrocytes. Moreover, glia-dependent toxicity was also observed, when IMA cultures were stimulated with CM, and the culture medium was transferred to neurons. Such neurotoxicity was prevented when astrocytes were treated by p38 kinase inhibitors or dexamethasone, whereas such compounds had no effect when added to neurons. Conversely, treatment of neurons with five different drugs, including resveratrol and CEP1347, prevented toxicity of astrocyte supernatants. Thus, the sequential IMA-LUHMES neuroinflammation model is suitable for separate profiling of both glial-directed and directly neuroprotective strategies. Moreover, direct evaluation in co-cultures of the same cells allows for testing of therapeutic effectiveness in more complex settings, in which astrocytes affect pharmacological properties of neurons.","published","2017","doc-type:article","doc-type:Text","http://nbn-resolving.de/urn:nbn:de:bsz:352-0-327143","Archives of Toxicology ; 91 (2017), 1. - S. 231-246. - ISSN 0003-9446. - eISSN 1432-0738","484521195","http://dx.doi.org/10.1007/s00204-016-1702-2","27052459","eng","https://kops.uni-konstanz.de/page/termsofuse","application/pdf","application/pdf","Schildknecht, Stefan","Leist, Marcel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"open_access","ddc:570",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
